DOI,Journal
10.1002/adsc.201901136,Advanced Synthesis & Catalysis
10.1002/ajoc.201402070,Asian Journal of Organic Chemistry
10.1002/ajoc.201700503,Asian Journal of Organic Chemistry
10.1002/ajoc.202100571,Asian Journal of Organic Chemistry
10.1002/anie.200703681,Angewandte Chemie International Edition
10.1002/anie.201201720,Angewandte Chemie International Edition
10.1002/anie.201208002,Angewandte Chemie International Edition
10.1002/anie.201308614,Angewandte Chemie International Edition
10.1002/anie.201407016,Angewandte Chemie International Edition
10.1002/anie.201409361,Angewandte Chemie International Edition
10.1002/anie.201602224,Angewandte Chemie International Edition
10.1002/anie.201604025,Angewandte Chemie International Edition
10.1002/anie.201706018,Angewandte Chemie International Edition
10.1002/anie.201707274,Angewandte Chemie International Edition
10.1002/anie.201711221,Angewandte Chemie International Edition
10.1002/anie.201713333,Angewandte Chemie International Edition
10.1002/anie.201810145,Angewandte Chemie International Edition
10.1002/anie.201811036,Angewandte Chemie International Edition
10.1002/anie.201900503,Angewandte Chemie International Edition
10.1002/anie.201903349,Angewandte Chemie International Edition
10.1002/anie.201903877,Angewandte Chemie International Edition
10.1002/anie.201908495,Angewandte Chemie International Edition
10.1002/anie.201910568,Angewandte Chemie International Edition
10.1002/anie.202000039,Angewandte Chemie International Edition
10.1002/anie.202000859,Angewandte Chemie International Edition
10.1002/anie.202003279,Angewandte Chemie International Edition
10.1002/anie.202004485,Angewandte Chemie International Edition
10.1002/anie.202006366,Angewandte Chemie International Edition
10.1002/anie.202008630,Angewandte Chemie International Edition
10.1002/anie.202009369,Angewandte Chemie International Edition
10.1002/anie.202009704,Angewandte Chemie International Edition
10.1002/anie.202010832,Angewandte Chemie International Edition
10.1002/anie.202015921,Angewandte Chemie International Edition
10.1002/anie.202016573,Angewandte Chemie International Edition
10.1002/anie.202100949,Angewandte Chemie International Edition
10.1002/anie.202103327,Angewandte Chemie International Edition
10.1002/anie.202107004,Angewandte Chemie International Edition
10.1002/anie.202113204,Angewandte Chemie International Edition
10.1002/anie.202114514,Angewandte Chemie International Edition
10.1002/anie.202116024,Angewandte Chemie International Edition
10.1002/anie.202117215,Angewandte Chemie International Edition
10.1002/anie.202200144,Angewandte Chemie International Edition
10.1002/anie.202201064,Angewandte Chemie International Edition
10.1002/anie.202201151,Angewandte Chemie International Edition
10.1002/anie.202201240,Angewandte Chemie International Edition
10.1002/anie.202201684,Angewandte Chemie International Edition
10.1002/anie.202205619,Angewandte Chemie International Edition
10.1002/anie.202206058,Angewandte Chemie International Edition
10.1002/anie.202206501,Angewandte Chemie International Edition
10.1002/anie.202208936,Angewandte Chemie International Edition
10.1002/anie.202210838,Angewandte Chemie International Edition
10.1002/anie.202211782,Angewandte Chemie International Edition
10.1002/anie.202212889,Angewandte Chemie International Edition
10.1002/anie.202216356,Angewandte Chemie International Edition
10.1002/anie.202216373,Angewandte Chemie International Edition
10.1002/anie.202217654,Angewandte Chemie International Edition
10.1002/anie.202302418,Angewandte Chemie International Edition
10.1002/anie.202305409,Angewandte Chemie International Edition
10.1002/anie.202308122,Angewandte Chemie International Edition
10.1002/anie.202316481,Angewandte Chemie International Edition
10.1002/anie.202319960,Angewandte Chemie International Edition
10.1002/anie.202401557,Angewandte Chemie International Edition
10.1002/anie.202402044,Angewandte Chemie International Edition
10.1002/anie.202405062,Angewandte Chemie International Edition
10.1002/anie.202406324,Angewandte Chemie International Edition
10.1002/anie.202408745,Angewandte Chemie International Edition
10.1002/anie.202410297,Angewandte Chemie International Edition
10.1002/anie.202415715,Angewandte Chemie International Edition
10.1002/anie.202417407,Angewandte Chemie International Edition
10.1002/anie.202418746,Angewandte Chemie International Edition
10.1002/anie.202420370,Angewandte Chemie International Edition
10.1002/anie.202420667,Angewandte Chemie International Edition
10.1002/anie.202500125,Angewandte Chemie International Edition
10.1002/anie.202501524,Angewandte Chemie International Edition
10.1002/anie.202509300,Angewandte Chemie International Edition
10.1002/asia.201000053,Chemistry - An Asian Journal
10.1002/asia.201900294,Chemistry - An Asian Journal
10.1002/asia.201900895,Chemistry - An Asian Journal
10.1002/asia.202201262,Chemistry - An Asian Journal
10.1002/asia.202300063,Chemistry - An Asian Journal
10.1002/cctc.202100672,ChemCatChem
10.1002/chem.201501123,Chemistry – A European Journal
10.1002/chem.201901522,Chemistry – A European Journal
10.1002/chem.202100426,Chemistry – A European Journal
10.1002/chem.202202951,Chemistry – A European Journal
10.1002/chem.202203216,Chemistry – A European Journal
10.1002/chem.202303873,Chemistry – A European Journal
10.1002/chem.202403316,Chemistry – A European Journal
10.1021/jacs.5b04049,Journal of the American Chemical Society
10.1002/anie.201511659,Angewandte Chemie International Edition
10.1002/cjoc.202200211,Chinese Journal of Chemistry
10.1002/cplu.201300117,ChemPlusChem
10.1002/ejoc.201301318,European Journal of Organic Chemistry
10.1002/ejoc.201801216,European Journal of Organic Chemistry
10.1002/jcc.27281,Journal of Computational Chemistry
10.1007/s11426-024-2134-0,Science China Chemistry
10.1007/s11426-024-2211-y,Science China Chemistry
10.1007/s11426-024-2362-4,Science China Chemistry
10.1016/j.chempr.2019.04.023,Chem – A Cell Press journal
10.1016/j.chempr.2019.12.011,Chem – A Cell Press journal
10.1016/j.chempr.2021.04.005,Chem – A Cell Press journal
10.1016/j.chempr.2022.10.019,Chem – A Cell Press journal
10.1016/j.chempr.2023.01.020,Chem – A Cell Press journal
10.1016/j.xcrp.2023.101302,Cell Reports Physical Science
10.1021/acs.inorgchem.0c01754,Inorganic Chemistry
10.1021/acs.inorgchem.1c03546,Inorganic Chemistry
